Signal,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Word
41,54,384,750,1065,1450,1982,3109,4428,low
18,80,397,800,1073,1452,1836,3262,4201,low
13,65,375,779,1093,1457,1957,3287,4440,low
42,56,364,783,1043,1324,1862,3125,4110,low
10,81,385,767,1038,1465,1931,3163,4351,low
45,56,373,754,1059,1425,1801,3285,4311,low
27,66,359,773,1009,1405,1878,3160,4133,low
7,66,380,794,1000,1354,1869,3197,4133,low
14,75,400,752,1013,1378,1938,3165,4355,low
33,62,356,761,1068,1376,1862,3115,4114,low
32,54,395,761,1011,1457,1917,3194,4360,low
29,64,386,769,1016,1461,1971,3125,4431,low
45,99,376,795,1012,1445,1808,3259,4283,low
37,62,372,785,1053,1457,1977,3106,4243,low
33,100,389,786,1019,1314,1862,3230,4463,low
35,53,358,761,1098,1379,1957,3240,4244,low
35,91,384,756,1053,1477,1917,3230,4426,low
15,69,394,754,1067,1404,1917,3259,4442,low
42,70,394,775,1085,1413,1934,3138,4444,low
43,53,350,765,1057,1473,1902,3223,4493,low
39,72,358,784,1092,1371,1822,3217,4138,low
8,93,371,757,1060,1393,1876,3200,4396,low
44,64,360,774,1068,1477,1925,3286,4235,low
47,51,382,752,1059,1476,1841,3287,4119,low
12,76,357,793,1096,1371,1821,3270,4200,low
44,89,358,794,1036,1438,1901,3250,4128,low
29,76,391,789,1043,1300,1819,3182,4393,low
14,74,381,768,1045,1347,1933,3238,4133,low
8,64,353,781,1023,1483,1988,3122,4122,low
17,50,358,789,1030,1323,1970,3156,4327,low
13,90,368,877,1087,1520,2243,3242,4635,mid
30,183,417,838,1112,1563,2059,3698,4454,mid
15,141,372,837,1088,1541,2343,3666,4586,mid
8,134,333,874,1091,1551,2394,3720,4505,mid
17,183,447,787,1112,1465,2264,3616,4517,mid
40,125,452,850,1080,1560,1988,3598,4435,mid
17,166,334,794,1122,1575,1924,3748,4533,mid
46,132,332,836,1104,1464,2178,3580,4672,mid
39,120,547,839,1113,1584,1954,3510,4686,mid
12,102,404,837,1117,1483,2071,3317,4664,mid
34,105,409,827,1118,1542,2105,3722,4652,mid
46,179,486,806,1107,1535,2396,3742,4506,mid
23,84,548,788,1111,1577,2139,3692,4461,mid
7,92,530,839,1084,1455,2294,3381,4517,mid
37,129,430,801,1108,1552,2399,3442,4650,mid
35,148,390,889,1090,1583,1974,3341,4547,mid
22,156,360,784,1099,1507,2372,3757,4450,mid
8,180,406,878,1124,1527,2323,3265,4580,mid
20,105,513,795,1114,1537,2189,3725,4542,mid
40,88,442,879,1093,1497,2046,3299,4627,mid
28,106,352,840,1087,1523,2375,3258,4464,mid
28,196,487,793,1120,1537,2364,3215,4475,mid
38,197,475,844,1111,1565,2333,3453,4518,mid
33,143,534,843,1087,1463,2191,3231,4542,mid
26,169,408,785,1106,1496,2014,3388,4573,mid
16,89,501,828,1095,1504,1999,3206,4582,mid
39,115,490,843,1120,1595,2197,3662,4511,mid
10,194,546,787,1084,1587,1976,3660,4511,mid
21,172,490,836,1099,1589,2107,3799,4676,mid
21,192,431,863,1093,1452,2317,3657,4504,mid
11,230,563,895,1133,1594,2438,3924,4670,high
24,195,581,875,1174,1609,2942,3854,4806,high
31,235,492,887,1164,1621,2728,3642,4878,high
39,273,606,876,1138,1673,2310,3900,4733,high
47,194,635,901,1122,1552,2926,3814,4761,high
17,190,602,881,1143,1559,2529,3926,4729,high
17,209,643,925,1166,1579,2851,3737,4800,high
20,244,589,910,1102,1659,2680,3611,4778,high
33,204,505,880,1127,1674,2501,3940,4625,high
21,247,494,889,1143,1556,2827,3801,4703,high
18,240,484,871,1150,1622,2831,3789,4863,high
12,218,575,923,1101,1629,2741,3738,4652,high
24,198,626,920,1102,1624,2316,3731,4752,high
42,199,579,901,1112,1664,2371,3957,4957,high
38,211,617,889,1125,1592,2890,3714,4678,high
40,203,564,888,1108,1562,2734,3762,4629,high
17,244,672,904,1147,1564,2965,3683,4698,high
28,268,587,916,1136,1674,2802,3531,4850,high
10,265,579,919,1133,1654,2311,3823,4933,high
38,264,498,912,1130,1644,2614,3809,4834,high
10,208,575,883,1133,1612,2265,3914,4688,high
23,266,573,857,1131,1620,2391,3603,4841,high
41,200,655,871,1153,1665,2477,3780,4644,high
26,255,488,922,1108,1587,2949,3650,4888,high
23,269,505,886,1101,1621,2242,3623,4628,high
35,195,660,877,1135,1618,2586,3627,4643,high
46,200,520,880,1157,1626,2569,3609,4659,high
38,198,541,909,1145,1585,2228,3711,4734,high
42,247,623,875,1148,1588,2875,3584,4903,high
36,212,518,911,1146,1630,2231,3808,4834,high
28,71,359,766,1018,1472,1901,3285,4406,low
31,81,385,779,1034,1420,1851,3111,4307,low
33,81,395,769,1066,1317,1853,3112,4374,low
15,90,377,759,1007,1464,1882,3218,4359,low
31,91,394,761,1085,1467,1997,3248,4271,low
43,89,397,762,1039,1320,1961,3178,4204,low
28,82,371,796,1029,1345,1987,3123,4184,low
34,54,395,768,1068,1311,1826,3221,4178,low
14,93,390,762,1028,1479,1938,3113,4247,low
13,72,377,773,1090,1467,1907,3162,4253,low
18,76,365,762,1003,1443,1948,3186,4247,low
27,74,387,776,1001,1361,1869,3262,4218,low
10,61,382,751,1065,1341,1921,3280,4350,low
24,50,385,777,1039,1390,1824,3102,4247,low
28,61,385,795,1095,1368,1825,3180,4164,low
10,80,377,779,1017,1481,1815,3117,4473,low
13,56,388,753,1083,1401,1811,3273,4478,low
